event_date,product_name_it,quantity_consumed,wholesale_price_eur,total_cost_eur,format
2024-06-16,Acqua gassatissima 1\1.5lt,23.0,0.75,17.25,
2024-06-16,Amico bicchieri,742.0,,,
2024-06-16,Arancia 1l.,7.0,1.8,12.6,
2024-06-16,BITTER ASPIDE (APEROL),20.0,9.81,196.2,
2024-06-16,BITTER MAZZINI (CAMPARI),40.0,11.34,453.6,
2024-06-16,Bombole CO2 10kg,0.0,25.0,0.0,
2024-06-16,Citrico + malico,0.0,,,
2024-06-16,Coca Cola 1l.,30.0,1.485,44.55,
2024-06-16,GIN BROKER'S,120.0,11.61,1393.2,
2024-06-16,GIN GRIFU,2.0,25.83,51.66,
2024-06-16,GIN MARE,6.0,27.07,162.42,
2024-06-16,GIN N3,20.4,9.01,183.8,
2024-06-16,Ghiaccio 5kg,1300.0,0.5,650.0,Varie
2024-06-16,H2o pet 1l. san benedetto,120.0,0.5,60.0,
2024-06-16,Heineken fusti 30lt,15.0,75.0,1125.0,
2024-06-16,KINLEY LEMON,60.0,1.5,90.0,
2024-06-16,KINLEY TONIC,267.0,1.5,400.5,
2024-06-16,MEZCAL PERRO DE SAN JUAN,2.0,25.38,50.76,
2024-06-16,Prosecco,149.0,3.0,447.0,Partesa
2024-06-16,RUM BARCELO BLANCO,7.0,11.77,82.39,
2024-06-16,RUM BARCELO IMPERIAL,0.0,20.7,0.0,
2024-06-16,"Shweppes Ginger Beer 0,18l.",96.0,0.825,79.2,
2024-06-16,Shweppes Pompelmo vetro,144.0,0.69375,99.9,
2024-06-16,TEQUILA CORRALEJO BLANCO,6.0,20.16,120.96,
2024-06-16,TEQUILA JIMADOR,3.0,24.0,72.0,
2024-06-16,VERMOUTH MANCINO,26.0,16.56,430.56,
2024-06-16,VODKA FINLANDIA,21.0,10.71,224.91,CC-HGC
2024-06-16,WHISKEY JACK DANIEL'S,9.0,22.41,201.69,
2024-06-16,WHISKEY JACK DANIEL'S APPLE,3.0,25.29,75.87,
2024-06-16,Zucchero semolato kg,0.0,,,
2024-06-16,h2o latt frizz,100.0,0.5208333333,52.08,
2024-06-16,h2o latt nat,355.0,0.5208333333,184.9,
2024-06-16,sciroppo Sambuco,4.0,12.87,51.48,
2024-06-16,sciroppo lamponi,4.0,11.43,45.72,
2024-06-16,sciroppo passion,4.0,11.43,45.72,
2024-06-16,shot pla,1000.0,,,
2024-06-16,succo ananas,2.0,1.8,3.6,
2024-06-16,vino bianco appia,138.0,6.22,858.36,
