drink_name,retail_price_eur,ingredients,notes
EMPATHY SIP,10.0,Vodka; Succo di limone; Sciroppo di sambuco; Soda,
SPARKING SOUL,10.0,Gin; Succo di limone; Succo d'arancia; Prosecco,
INNER LIGHT,10.0,Rum; Zucchero & Succo di limone; Soda al pompelmo,
SUNNY SMILE,10.0,Tequila; Sciroppo di passion fruit; Succo di limone; Soda al limone; Mancino floating,
SHARING BLISS,10.0,Aspide; Zucchero & Succo di limone; Ginger beer,
GENTLE KISS,8.0,Sciroppo di sambuco; Succo di limone; Ginger beer,
INNER BEAUTY,8.0,Sciroppo di passion fruit; Succo di limone; Soda al pompelmo,
JACK LIGHT,10.0,jack; succo arancia; sciroppo passion fruit; lemon soda,
JACK SOUL,10.0,jack; mazzini; citrico; ginger beer,
JACK HARMONY,10.0,jack apple; aspide; prosecco,
JACK SUNSHINE,10.0,jack apple; citrico; sciroppo lampone; Il cavaliere - floating,
PREMIUM,13.0,GIN MARE; BARCELò IMPERIAL,
No.3 MULE,13.0,No.3; citrico; ginger beer; slice cetriolo,
No.3 PINK,13.0,No.3; soda pomelmo; Rametto rosmarino,
No.3 TONIC,13.0,No.3; Tonic; Rametto rosmarino,
DRINK LIST BAR COCA COLA,,,
EMPATHY SIP,10.0,Finlandia Vodka; citrico; sciroppo sambuco; soda,
SPARKING SOUL,10.0,Brokers Gin; citrico; succo arancia; prosecco,
INNER LIGHT,10.0,Barcelò Rum; zucchero + citrico; soda pompelmo,
SUNNY SMILE,10.0,Jimador Tequila; sciroppo passion fruit; citrico; lemon soda; mancino floating,
SHARING BLISS,10.0,Aspide; zucchero + citrico; ginger beer,
GENTLE KISS,8.0,sciroppo sambuco; citrico; ginger beer,
INNER BEAUTY,8.0,sciroppo passion fruit; citrico; soda pompelmo,
PREMIUM,10.0,GIN GRIFU; RUM BARCELO IMPERIAL,
