event_date,operator_name,store_assignment,product_name_it,units_confirmed
2024-06-16,sun-admin-4@slesh.it,"Main Bar Jack Daniel's, Bar Gin No.3, Bar Barcelo, Punto Food",Gin Tonic,1
2024-06-16,sun-admin-4@slesh.it,"Main Bar Jack Daniel's, Bar Gin No.3, Bar Barcelo, Punto Food",Birra,14
2024-06-16,sun-admin-4@slesh.it,"Main Bar Jack Daniel's, Bar Gin No.3, Bar Barcelo, Punto Food",Bicchiere,4
2024-06-16,sun-barcelo-1@slesh.it,Bar Barcelo,Gin Tonic,30
2024-06-16,sun-barcelo-1@slesh.it,Bar Barcelo,Bicchiere,87
2024-06-16,sun-barcelo-1@slesh.it,Bar Barcelo,Vino e bolle,5
2024-06-16,sun-barcelo-1@slesh.it,Bar Barcelo,Analcolico,1
2024-06-16,sun-barcelo-1@slesh.it,Bar Barcelo,Cocktail,125
2024-06-16,sun-barcelo-1@slesh.it,Bar Barcelo,Acqua,6
2024-06-16,sun-barcelo-1@slesh.it,Bar Barcelo,Cocktail Premium,13
2024-06-16,sun-barcelo-1@slesh.it,Bar Barcelo,Soft Drink,4
2024-06-16,sun-barcelo-1@slesh.it,Bar Barcelo,Sprtiz,20
2024-06-16,sun-barcelo-2@slesh.it,Bar Barcelo,Birra,527
2024-06-16,sun-barcelo-2@slesh.it,Bar Barcelo,Bicchiere,173
2024-06-16,sun-barcelo-4@slesh.it,Bar Barcelo,Birra,5
2024-06-16,sun-barcelo-6@slesh.it,Bar Barcelo,Gin Tonic,61
2024-06-16,sun-barcelo-6@slesh.it,Bar Barcelo,Birra,1
2024-06-16,sun-barcelo-6@slesh.it,Bar Barcelo,Bicchiere,53
2024-06-16,sun-barcelo-6@slesh.it,Bar Barcelo,Vino e bolle,2
2024-06-16,sun-barcelo-6@slesh.it,Bar Barcelo,Cocktail,121
2024-06-16,sun-barcelo-6@slesh.it,Bar Barcelo,Acqua,9
2024-06-16,sun-barcelo-6@slesh.it,Bar Barcelo,Cocktail Premium,6
2024-06-16,sun-barcelo-6@slesh.it,Bar Barcelo,Soft Drink,6
2024-06-16,sun-barcelo-6@slesh.it,Bar Barcelo,Sprtiz,9
2024-06-16,sun-barcelo-7@slesh.it,Bar Barcelo,Gin Tonic,89
2024-06-16,sun-barcelo-7@slesh.it,Bar Barcelo,Birra,50
2024-06-16,sun-barcelo-7@slesh.it,Bar Barcelo,Bicchiere,78
2024-06-16,sun-barcelo-7@slesh.it,Bar Barcelo,Vino e bolle,7
2024-06-16,sun-barcelo-7@slesh.it,Bar Barcelo,Cocktail,77
2024-06-16,sun-barcelo-7@slesh.it,Bar Barcelo,Acqua,23
2024-06-16,sun-barcelo-7@slesh.it,Bar Barcelo,Cocktail Premium,2
2024-06-16,sun-barcelo-7@slesh.it,Bar Barcelo,Soft Drink,4
2024-06-16,sun-barcelo-7@slesh.it,Bar Barcelo,Sprtiz,26
2024-06-16,sun-barcelo-8@slesh.it,Bar Barcelo,Gin Tonic,73
2024-06-16,sun-barcelo-8@slesh.it,Bar Barcelo,Birra,7
2024-06-16,sun-barcelo-8@slesh.it,Bar Barcelo,Bicchiere,47
2024-06-16,sun-barcelo-8@slesh.it,Bar Barcelo,Vino e bolle,5
2024-06-16,sun-barcelo-8@slesh.it,Bar Barcelo,Cocktail,55
2024-06-16,sun-barcelo-8@slesh.it,Bar Barcelo,Acqua,5
2024-06-16,sun-barcelo-8@slesh.it,Bar Barcelo,Cocktail Premium,1
2024-06-16,sun-barcelo-8@slesh.it,Bar Barcelo,Soft Drink,3
2024-06-16,sun-barcelo-8@slesh.it,Bar Barcelo,Sprtiz,18
2024-06-16,sun-barcelo-9@slesh.it,Bar Barcelo,Gin Tonic,100
2024-06-16,sun-barcelo-9@slesh.it,Bar Barcelo,Bicchiere,52
2024-06-16,sun-barcelo-9@slesh.it,Bar Barcelo,Vino e bolle,3
2024-06-16,sun-barcelo-9@slesh.it,Bar Barcelo,Analcolico,2
2024-06-16,sun-barcelo-9@slesh.it,Bar Barcelo,Cocktail,101
2024-06-16,sun-barcelo-9@slesh.it,Bar Barcelo,Acqua,14
2024-06-16,sun-barcelo-9@slesh.it,Bar Barcelo,Cocktail Premium,2
2024-06-16,sun-barcelo-9@slesh.it,Bar Barcelo,Soft Drink,17
2024-06-16,sun-barcelo-9@slesh.it,Bar Barcelo,Sprtiz,17
2024-06-16,sun-food-1@slesh.it,Punto Food,Patatine,9
2024-06-16,sun-food-1@slesh.it,Punto Food,BUN pollo,1
2024-06-16,sun-food-1@slesh.it,Punto Food,Frutta,3
2024-06-16,sun-food-1@slesh.it,Punto Food,Poke pollo,3
2024-06-16,sun-food-1@slesh.it,Punto Food,Takoyaki,1
2024-06-16,sun-food-1@slesh.it,Punto Food,Gyoza,4
2024-06-16,sun-food-1@slesh.it,Punto Food,BUN manzo,3
2024-06-16,sun-food-2@slesh.it,Punto Food,Patatine,56
2024-06-16,sun-food-2@slesh.it,Punto Food,BUN pollo,22
2024-06-16,sun-food-2@slesh.it,Punto Food,Frutta,16
2024-06-16,sun-food-2@slesh.it,Punto Food,Poke pollo,23
2024-06-16,sun-food-2@slesh.it,Punto Food,Takoyaki,9
2024-06-16,sun-food-2@slesh.it,Punto Food,Gyoza,18
2024-06-16,sun-food-2@slesh.it,Punto Food,BUN manzo,40
2024-06-16,sun-food-2@slesh.it,Punto Food,BUN ceci,5
2024-06-16,sun-food-2@slesh.it,Punto Food,Poke uova,5
2024-06-16,sun-food-2@slesh.it,Punto Food,BUN melanzana,3
2024-06-16,sun-food-3@slesh.it,Punto Food,Patatine,102
2024-06-16,sun-food-3@slesh.it,Punto Food,BUN pollo,40
2024-06-16,sun-food-3@slesh.it,Punto Food,Frutta,11
2024-06-16,sun-food-3@slesh.it,Punto Food,Poke pollo,26
2024-06-16,sun-food-3@slesh.it,Punto Food,Takoyaki,17
2024-06-16,sun-food-3@slesh.it,Punto Food,Gyoza,21
2024-06-16,sun-food-3@slesh.it,Punto Food,BUN manzo,90
2024-06-16,sun-food-3@slesh.it,Punto Food,BUN ceci,2
2024-06-16,sun-food-3@slesh.it,Punto Food,Poke uova,3
2024-06-16,sun-food-3@slesh.it,Punto Food,BUN melanzana,6
2024-06-16,sun-gin-1@slesh.it,Bar Gin No.3,Bicchiere,67
2024-06-16,sun-gin-1@slesh.it,Bar Gin No.3,Analcolico,1
2024-06-16,sun-gin-1@slesh.it,Bar Gin No.3,No.3 MULE,26
2024-06-16,sun-gin-1@slesh.it,Bar Gin No.3,No.3 TONIC,220
2024-06-16,sun-gin-1@slesh.it,Bar Gin No.3,No.3 PINK,45
2024-06-16,sun-jack-11@slesh.it,Main Bar Jack Daniel's,Caffè,11
2024-06-16,sun-jack-13@slesh.it,Main Bar Jack Daniel's,Birra,362
2024-06-16,sun-jack-13@slesh.it,Main Bar Jack Daniel's,Bicchiere,146
2024-06-16,sun-jack-13@slesh.it,Main Bar Jack Daniel's,Acqua,1
2024-06-16,sun-jack-16@slesh.it,Main Bar Jack Daniel's,Gin Tonic,35
2024-06-16,sun-jack-16@slesh.it,Main Bar Jack Daniel's,Bicchiere,27
2024-06-16,sun-jack-16@slesh.it,Main Bar Jack Daniel's,Vino e bolle,3
2024-06-16,sun-jack-16@slesh.it,Main Bar Jack Daniel's,Cocktail,16
2024-06-16,sun-jack-16@slesh.it,Main Bar Jack Daniel's,Cocktail Premium,4
