event_date,product_name_it,price_eur,category,units_sold,revenue_eur
2025-06-15,Acqua,2,beverage,215,430.0
2025-06-15,Analcolico,8,beverage,36,288.0
2025-06-15,Arancine ,5,Food,50,250.0
2025-06-15,Bicchiere,1,beverage,1605,1605.0
2025-06-15,Bottiglia Vino ,27,beverage,115,3105.0
2025-06-15,Bu Chicken ,12,Food,16,192.0
2025-06-15,Bu Pork ,12,Food,34,408.0
2025-06-15,Bu Veggy ,12,Food,7,84.0
2025-06-15,Burger,12,Food,86,1032.0
2025-06-15,Calamari e Moscardini ,10,Food,63,630.0
2025-06-15,Cartoccio Misto,8,Food,5,40.0
2025-06-15,Cocktail,10,beverage,2375,23750.0
2025-06-15,Cocktail Premium,13,beverage,85,1105.0
2025-06-15,Cocktail Super premium ,15,beverage,15,225.0
2025-06-15,Gelato,3,beverage,26,78.0
2025-06-15,Guardaroba,3,Guardaroba,1,3.0
2025-06-15,Mortadella,8,Food,88,704.0
2025-06-15,Nachos,8,Food,13,104.0
2025-06-15,Nastro Azzurro,6,beverage,674,4044.0
2025-06-15,Patatina Grande,8,Food,57,456.0
2025-06-15,Patatina Media,5,Food,125,625.0
2025-06-15,Polletti ,8,Food,26,208.0
2025-06-15,Porchetta ,8,Food,47,376.0
2025-06-15,Prosciutto,8,Food,51,408.0
2025-06-15,Pulled Chicken Burger,12,Food,3,36.0
2025-06-15,Pulled Pork Burger,12,Food,36,432.0
2025-06-15,Pulled Salmon Burger,12,Food,4,48.0
2025-06-15,Raffo,7,beverage,291,2037.0
2025-06-15,Soft Drink,5,beverage,105,525.0
2025-06-15,Sprtiz,10,beverage,499,4990.0
2025-06-15,Veg,8,Food,42,336.0
2025-06-15,Vino e bolle,6,beverage,105,630.0
2025-06-29,Acqua,2,beverage,202,404.0
2025-06-29,Analcolico,8,beverage,29,232.0
2025-06-29,Bicchiere,1,beverage,1349,1349.0
2025-06-29,Bottiglia Vino ,27,beverage,105,2835.0
2025-06-29,Burger,12,Food,98,1176.0
2025-06-29,Cartoccio misto ,10,Food,49,490.0
2025-06-29,Cocktail,10,beverage,2003,20030.0
2025-06-29,Cocktail Super premium ,15,beverage,6,90.0
2025-06-29,Cocktail signature,13,beverage,12,156.0
