event_date,category,register_revenue_eur,qr_revenue_eur,total_revenue_eur,register_units,qr_units,total_units
2025-06-15,beverage,0,0,42812,0,0,6146
2025-06-15,Guardaroba,0,0,3,0,0,1
2025-06-15,Food,0,0,6369,0,0,753
2025-06-29,beverage,0,0,35529,0,0,5096
2025-06-29,Merch,0,0,60,0,0,3
2025-06-29,Food,0,0,5130,0,0,591
2025-07-13,beverage,0,0,26344,0,0,3745
2025-07-13,Food,0,0,3456,0,0,403
2025-07-27,beverage,0,0,36636,0,0,5170
2025-07-27,Merch,0,0,20,0,0,1
2025-07-27,Food,0,0,6021,0,0,752
2025-08-03,beverage,0,0,32393,0,0,4502
2025-08-03,Food,0,0,4606,0,0,553
