event_date,order_datetime,store_name,products_list,total_eur,status,order_type,deposit_eur
2025-06-15,15/06/2025 12:46,Malandrino,Burger,12,completed,experience,0
2025-06-15,15/06/2025 12:51,Cocktail Bar ,Bicchiere,1,completed,experience,1
2025-06-15,15/06/2025 12:53,Cocktail Bar ,"Bicchiere, Cocktail",11,completed,experience,1
2025-06-15,15/06/2025 12:53,Beer Bar,"Bicchiere, Raffo",8,completed,experience,1
2025-06-15,15/06/2025 12:56,Malandrino,"Burger, Burger, Patatina Grande",32,completed,experience,0
2025-06-15,15/06/2025 12:58,La Nina,Bu Pork ,12,completed,experience,0
2025-06-15,15/06/2025 13:12,Cocktail Bar ,"Bicchiere, Soft Drink, Acqua",8,completed,experience,1
2025-06-15,15/06/2025 13:18,La Nina,Bu Chicken ,12,completed,experience,0
2025-06-15,15/06/2025 13:18,Malandrino,"Burger, Patatina Media",17,completed,experience,0
2025-06-15,15/06/2025 13:23,Beer Bar,"Bicchiere, Raffo",8,completed,experience,1
2025-06-15,15/06/2025 13:23,Cocktail Bar ,"Sprtiz, Sprtiz, Bicchiere, Bicchiere",22,completed,experience,2
2025-06-15,15/06/2025 13:24,Beer Bar,Acqua,2,completed,experience,0
2025-06-15,15/06/2025 13:25,La Nina,Bu Chicken ,12,completed,experience,0
2025-06-15,15/06/2025 13:26,Beer Bar,"Nastro Azzurro, Nastro Azzurro, Bicchiere, Bicchiere",12,completed,experience,0
2025-06-15,15/06/2025 13:28,Cocktail Bar ,"Bicchiere, Sprtiz",11,completed,experience,1
2025-06-15,15/06/2025 13:31,Cocktail Bar ,"Bicchiere, Soft Drink",6,completed,experience,1
2025-06-15,15/06/2025 13:33,La Nina,"Bu Pork , Bu Pork ",24,completed,experience,0
2025-06-15,15/06/2025 13:33,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 13:33,Beer Bar,"Raffo, Raffo, Bicchiere, Bicchiere",16,completed,experience,2
2025-06-15,15/06/2025 13:33,Gelateria,"Gelato, Gelato",6,completed,experience,0
2025-06-15,15/06/2025 13:36,Cocktail Bar ,"Cocktail, Bicchiere",11,completed,experience,1
2025-06-15,15/06/2025 13:36,Beer Bar,Raffo,7,completed,experience,0
2025-06-15,15/06/2025 13:37,Cocktail Bar ,Acqua,2,completed,experience,0
2025-06-15,15/06/2025 13:37,Beer Bar,Nastro Azzurro,6,completed,experience,0
2025-06-15,15/06/2025 13:38,Beer Bar,"Nastro Azzurro, Bicchiere",6,completed,experience,0
2025-06-15,15/06/2025 13:39,Beer Bar,"Bicchiere, Bicchiere, Raffo, Raffo",16,completed,experience,2
2025-06-15,15/06/2025 13:39,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 13:40,La Nina,Pulled Pork Burger,12,completed,experience,0
2025-06-15,15/06/2025 13:40,Beer Bar,"Bicchiere, Raffo",8,completed,experience,1
2025-06-15,15/06/2025 13:41,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 13:41,Malandrino,Burger,12,completed,experience,0
2025-06-15,15/06/2025 13:41,Malandrino,Burger,12,completed,experience,0
2025-06-15,15/06/2025 13:42,Malandrino,Patatina Media,5,completed,experience,0
2025-06-15,15/06/2025 13:43,La Nina,Pulled Pork Burger,12,completed,experience,0
2025-06-15,15/06/2025 13:46,Beer Bar,"Nastro Azzurro, Bicchiere",7,completed,experience,1
2025-06-15,15/06/2025 13:46,Malandrino,"Burger, Patatina Grande",20,completed,experience,0
2025-06-15,15/06/2025 13:47,Malandrino,Burger,12,completed,experience,0
2025-06-15,15/06/2025 13:47,Beer Bar,"Bicchiere, Raffo",7,completed,experience,0
2025-06-15,15/06/2025 13:47,Beer Bar,"Nastro Azzurro, Bicchiere",6,completed,experience,0
2025-06-15,15/06/2025 13:47,Malandrino,Burger,12,completed,experience,0
