event_date,store_name,units_sold,revenue_eur
2025-06-15,Beer Bar,1405,6574
2025-06-15,Cocktail Bar ,4715,36160
2025-06-15,Figo ,144,1128
2025-06-15,Focacceria ,228,1824
2025-06-15,Gelateria,26,78
2025-06-15,Guardaroba,1,3
2025-06-15,La Nina,113,1304
2025-06-15,Malandrino,268,2113
2025-06-29,Cocktail Bar ,5070,35451
2025-06-29,Focacceria ,213,1704
2025-06-29,Gelateria,26,78
2025-06-29,Malandrino,254,2142
2025-06-29,Merch,3,60
2025-06-29,Stravizio ,124,1284
2025-07-13,Cocktail Bar ,3745,26344
2025-07-13,Focacceria ,142,1136
2025-07-13,Totò,31,154
2025-07-13,Twist&Chips,230,2166
2025-07-27,Ape Magna,199,1709
2025-07-27,Cocktail Bar ,5169,36633
2025-07-27,Focacceria ,359,2872
2025-07-27,Gelateria,1,3
2025-07-27,Merch,1,20
2025-07-27,Pret a Polpett,194,1440
2025-08-03,Cocktail Bar ,4502,32393
2025-08-03,Focacceria ,249,1992
2025-08-03,Malandrino,304,2614
